round_epochs,val_loss,val_binary_accuracy,loss,binary_accuracy,dropout,first_neuron,activation,optimizer,epochs,batch_size
6,0.252916157245636,0.8999999761581421,0.0002555422125949138,1.0,0.5,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.6341812014579773,0.8999999761581421,0.000946265016682446,1.0,0.25,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.4371802806854248,0.8666666746139526,0.22799555876657374,0.9857142857142858,0,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.8840786218643188,0.8333333134651184,0.0003953411075469506,1.0,0.5,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.429517149925232,0.8999999761581421,1.1387474832457203,0.9285714285714286,0.5,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.0614289045333862,0.8999999761581421,0.22775010393739714,0.9857142857142858,0,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.0138227939605713,0.8666666746139526,0.625874536378043,0.9571428571428572,0.5,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.5314456820487976,0.9666666388511658,0.6832588831960209,0.9571428571428572,0,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,0.9184834361076355,0.8666666746139526,0.23356808158935435,0.9857142857142858,0.75,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.6007492542266846,0.8666666746139526,7.902376907509278e-07,1.0,0.5,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,1.5609266757965088,0.8666666746139526,0.0001784544140946309,1.0,0.75,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.02011903189122677,1.0,0.014588190242648125,1.0,0.75,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.9777126312255859,0.8666666746139526,2.0228803789937695e-05,1.0,0.25,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.8310710787773132,0.9333333373069763,0.910995306287493,0.9428571445601327,0.25,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.1312757730484009,0.8333333134651184,0.0022719605526487744,1.0,0.5,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.4556304216384888,0.8666666746139526,1.0760911464691163,0.9142857159887041,0.25,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.46342551708221436,0.8999999761581421,5.2568086747279657e-05,1.0,0.75,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.516548752784729,0.8999999761581421,0.001012571090784929,1.0,0.25,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.27430078387260437,0.9333333373069763,0.0031069158376859766,1.0,0.5,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,0.4102257490158081,0.9333333373069763,0.9225287867443902,0.9285714285714286,0,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.7510019540786743,0.8333333134651184,0.4554967971451693,0.9714285714285714,0,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,0.9726894497871399,0.8666666746139526,0.0016805702403254535,1.0,0.25,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.7206026315689087,0.7666666507720947,0.22227905562945774,0.9571428571428572,0.75,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.1849653571844101,0.9666666388511658,0.015434443401820529,1.0,0.5,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.9094314575195312,0.8999999761581421,0.00810599875860914,1.0,0.5,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
